Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2017-12-02 03:11:31;2017-12-02 07:01:41;38%;3:50;:);;72;5049
2017-12-03 02:40:00;2017-12-03 09:13:49;66%;6:33;:);;77;2060
2017-12-04 04:10:31;2017-12-04 07:29:04;37%;3:18;:);;57;6865
2017-12-05 04:22:22;2017-12-05 07:29:42;37%;3:07;:);;68;8443
2017-12-06 02:11:08;2017-12-06 07:32:05;58%;5:20;:);;;6799
2017-12-07 04:05:30;2017-12-07 06:45:33;32%;2:40;:);;74;7940
2017-12-08 06:14:53;2017-12-08 08:59:11;12%;2:44;:);;84;434
2017-12-10 05:27:46;2017-12-10 09:36:59;46%;4:09;:);;112;3417
2017-12-11 02:30:55;2017-12-11 07:31:05;50%;5:00;:);;67;1640
2017-12-12 02:00:00;2017-12-12 07:21:48;61%;5:21;:);;96;5375
2017-12-13 02:58:37;2017-12-13 07:28:34;45%;4:29;:);;61;5632
